1999 JT6 , I , 17150 ,   583 , 15 48 31.87 -20 8 59.78 , 0 0 0.01   0 0 0.14 , 20.469 , 20.5
1999 JT6 , I , 19282 ,  609A , 0 46 55.59 -18 0 12.46 , 0 0 0.02   0 0 0.28 , 16.884 , 20.527634336954936
2004 XP14 ,OR , 13401 ,   892 , 10 53 58.88 -1 42 46.44 , 0 0 0.03   0 0 0.46 , 21.823 , 22.083683487038268
1998 DV9 , J ,  7916 ,   726 , 15 41 21.59 -9 35 23.5 , 0 0 0.02   0 0 0.25 , 21.534 , 23.5
1998 DV9 , J ,  7968 ,   727 , 15 54 53.61 -12 32 55.97 , 0 0 0.01   0 0 0.21 , 22.09 , 23.5
1998 DV9 , J ,  8660 ,   752 , 0 14 45.92 -4 3 1.84 , 0 0 0.01   0 0 0.2 , 22.437 , 23.5
2008 AF4 , J ,  5099 ,   863 , 13 31 43.22 2 5 15.0 , 0 0 0.01   0 0 0.11 , 23.078 , 23.627613156889797
2014 XL7 , J ,  5773 ,   867 , 14 30 25.13 -1 10 3.14 , 0 0 6.76   0 1 41.41 , 23.003 , 23.602733445234186
2013 BP73 , J ,  5773 ,   867 , 14 34 31.78 1 19 46.99 , 0 0 0.57   0 0 8.5 , 21.338 , 23.602733445234186
2006 WT1 , J ,  5739 ,   569 , 10 38 44.43 -17 18 52.6 , 0 0 0.24   0 0 3.64 , 22.73 , 23.5
2017 XL2 , J ,  1486 ,   226 , 16 37 19.78 -47 37 28.6 , 0 0 0.59   0 0 8.89 , 21.453 , 23.5
1999 DB7 , J ,  8191 ,   692 , 4 22 18.0 -8 25 12.54 , 0 0 0.04   0 0 0.65 , 20.032 , 23.5
2003 YT1 ,OR , 15523 ,   864 , 1 46 23.25 -2 39 29.16 , 0 0 0.0   0 0 0.01 , 19.108 , 21.95276429888825
1998 SS49 ,OR , 13363 ,   464 , 21 13 0.44 -29 39 16.42 , 0 0 0.01   0 0 0.09 , 21.013 , 22.083683487038268
1998 KM3 , J , 10231 ,   718 , 12 56 33.54 -12 3 3.31 , 0 0 0.04   0 0 0.56 , 19.87 , 23.5
1998 KM3 , J , 11683 ,   648 , 13 43 51.65 -17 55 10.27 , 0 0 0.03   0 0 0.4 , 23.378 , 23.829051793468228
1996 RG3 , J ,  2603 ,   597 , 20 40 53.03 -17 13 57.36 , 0 0 0.02   0 0 0.25 , 21.407 , 23.5
1996 RG3 , J , 12752 ,   894 , 11 44 38.11 2 35 34.4 , 0 0 0.01   0 0 0.17 , 21.117 , 23.629754651194947
2003 MH4 , I , 14814 ,   777 , 8 32 27.52 -7 7 9.44 , 0 0 0.1   0 0 1.42 , 18.041 , 20.5
2015 TB145 , J ,  4606 ,   411 , 0 53 19.51 -27 51 48.67 , 0 0 0.03   0 0 0.47 , 23.097 , 23.583683487038268
2004 XN14 ,OR , 12550 ,   859 , 0 3 46.19 -2 11 7.66 , 0 0 0.02   0 0 0.29 , 21.814 , 22.249465443631504
2020 NK1 , I , 15061 ,   108 , 21 46 17.32 -65 18 46.44 , 0 0 45.21   0 11 18.09 , 18.628 , 20.5
2006 JF42 , J ,  9309 ,   855 , 10 47 9.52 -1 12 59.76 , 0 0 0.09   0 0 1.32 , 18.093 , 23.5
2003 HF2 , J ,  8537 ,   791 , 13 16 34.53 -4 18 40.32 , 0 0 0.03   0 0 0.42 , 20.26 , 23.5
2003 HF2 , J ,  8569 ,   790 , 13 11 23.51 -3 49 26.76 , 0 0 0.03   0 0 0.4 , 20.472 , 23.5
1982 DB , J ,  3410 ,   595 , 20 7 46.02 -21 0 10.58 , 0 0 0.0   0 0 0.04 , 20.025 , 23.62113751626007
1982 DB ,OR , 15447 ,   517 , 16 42 25.69 -25 25 46.52 , 0 0 0.0   0 0 0.07 , 19.543 , 22.0
1982 DB ,OR , 15557 ,   582 , 15 22 37.06 -22 11 19.5 , 0 0 0.01   0 0 0.1 , 18.882 , 22.0
1947 XC ,OR , 13868 ,   673 , 21 47 53.47 -16 48 33.77 , 0 0 0.01   0 0 0.09 , 20.531 , 22.12113751626007
1947 XC ,OR , 15749 ,   598 , 21 10 44.21 -19 50 34.58 , 0 0 0.01   0 0 0.11 , 19.74 , 22.0
2018 BP , I ,  9460 ,   737 , 19 30 11.4 -11 30 19.91 , 0 0 0.32   0 0 4.84 , 20.289 , 20.5
2018 BP ,OR ,  9527 ,   662 , 18 25 15.29 -14 22 31.48 , 0 0 0.27   0 0 4.0 , 20.464 , 21.95276429888825
2018 BP ,OR , 11589 ,   854 , 10 18 15.0 0 48 52.2 , 0 0 0.23   0 0 3.46 , 20.349 , 22.376287494579977
2010 FQ ,OR ,  9478 ,   670 , 20 51 56.05 -14 6 9.22 , 0 0 0.16   0 0 2.44 , 21.884 , 21.90102344244047
2010 FQ , J , 11267 ,   746 , 22 20 30.06 -10 50 52.26 , 0 0 0.14   0 0 2.16 , 22.505 , 23.583683487038268
2002 FB3 , I , 15741 ,   890 , 10 30 42.14 1 52 18.62 , 0 0 0.01   0 0 0.14 , 19.218 , 20.656173420760375
1989 FC ,OR , 10339 ,   801 , 16 51 9.34 -5 18 21.13 , 0 0 0.19   0 0 2.87 , 20.67 , 22.083683487038268
2001 FO32 , J ,  3861 ,   496 , 8 37 26.74 -26 53 0.56 , 0 0 0.04   0 0 0.62 , 22.875 , 23.656173420760375
2018 TY2 ,OR , 14455 ,   583 , 15 46 6.25 -18 56 51.97 , 0 1 58.99   0 29 44.85 , 20.562 , 22.043452632824014
2002 JZ8 , J , 12752 ,   894 , 11 30 20.42 1 23 4.45 , 0 0 0.12   0 0 1.81 , 22.911 , 23.629754651194947
2013 LG16 ,OR , 12052 ,   807 , 18 47 16.65 -4 5 43.55 , 0 0 0.45   0 0 6.72 , 21.818 , 22.083683487038268
2007 AG ,OR , 12995 ,   857 , 23 21 16.16 1 41 55.75 , 0 0 0.0   0 0 0.05 , 21.566 , 22.043452632824014
2003 QO104 ,OR , 17809 ,   828 , 1 29 42.48 2 0 50.04 , 0 0 0.01   0 0 0.13 , 20.561 , 22.0
2000 LB16 , J , 14691 ,   836 , 16 14 24.23 -2 21 5.11 , 0 0 0.01   0 0 0.15 , 22.033 , 23.62113751626007
1937 UB , J ,  3390 ,   601 , 22 9 30.93 -21 7 41.02 , 0 0 0.0   0 0 0.06 , 21.542 , 23.583683487038268
2006 DU62 , J ,  2975 ,   444 , 13 25 55.2 -31 36 57.74 , 0 0 0.04   0 0 0.55 , 22.221 , 23.583683487038268
2006 DU62 , J ,  8202 ,   824 , 12 18 8.55 2 40 40.08 , 0 0 0.04   0 0 0.62 , 19.658 , 23.5
2010 JU39 ,OR , 10855 ,   862 , 0 51 45.64 -1 55 24.17 , 0 0 0.07   0 0 1.02 , 20.161 , 22.083683487038268
2010 JU39 , I , 10863 ,   862 , 0 57 34.32 0 36 7.63 , 0 0 0.07   0 0 1.02 , 20.207 , 20.5
2001 SG286 , I ,  7729 ,   272 , 14 24 49.52 -44 35 25.91 , 0 0 0.31   0 0 4.7 , 17.53 , 20.5
1999 MN , J ,  9351 ,   743 , 21 32 5.57 -9 49 49.3 , 0 0 0.1   0 0 1.53 , 17.622 , 23.5
1993 EA ,OR , 12837 ,   825 , 12 37 52.57 0 12 22.57 , 0 0 0.0   0 0 0.04 , 21.277 , 22.12113751626007
1993 EA ,OR , 14590 ,   824 , 12 13 6.36 2 14 27.02 , 0 0 0.0   0 0 0.04 , 21.001 , 22.0
1993 EA ,OR , 17016 ,   863 , 13 28 14.36 1 53 19.54 , 0 0 0.01   0 0 0.12 , 18.555 , 22.12113751626007
2014 SM143 , J ,  4402 ,   109 , 22 39 58.84 -66 34 23.99 , 0 0 0.03   0 0 0.41 , 22.417 , 23.583683487038268
2005 UL5 ,OR , 16385 ,   472 , 0 5 15.64 -24 14 0.71 , 0 0 0.01   0 0 0.19 , 21.105 , 22.0
