1998 FW4 ,XJ , 05691 ,  433  , 9 1 30.34 30 8 48.98 , 0 0 0.16   0 0 2.34 , 16.889
1998 FW4 ,XF , 05708 ,  566  , 9 46 7.58 20 47 49.88 , 0 0 0.1   0 0 1.48 , 17.718
2014 QK434 ,XF , 01374 ,  815  , 21 18 31.72 4 10 32.66 , 0 0 1.51   0 0 22.59 , 18.949
2014 QK434 ,XJ , 01380 ,  815  , 21 16 44.26 4 14 53.2 , 0 0 1.52   0 0 22.8 , 18.928
2017 HT2 ,XJ , 05175 ,  580  , 14 44 58.68 19 14 3.59 , 0 0 7.01   0 1 45.18 , 19.61
2017 HT2 ,XJ , 05190 ,  580  , 14 33 49.32 19 34 19.96 , 0 0 6.89   0 1 43.41 , 19.552
2014 HK129 ,XF , 05757 ,  799  , 15 49 47.12 3 47 2.33 , 0 0 21.48   0 5 22.26 , 19.836
2007 LQ19 ,XN , 00950 ,  768  , 5 35 57.37 5 1 31.55 , 0 0 0.09   0 0 1.35 , 19.915
1998 ST27 ,XF , 04762 ,  285  , 20 21 58.78 42 16 42.96 , 0 0 0.02   0 0 0.23 , 19.517
2006 GB ,XF , 04595 ,  397  , 19 11 18.67 37 50 58.2 , 0 0 0.26   0 0 3.86 , 19.428
2006 GB ,XN , 04608 ,  281  , 18 53 17.52 44 0 18.79 , 0 0 0.29   0 0 4.28 , 19.351
2000 MU1 ,XJ , 04419 ,  763  , 4 8 49.55 2 32 40.45 , 0 0 0.06   0 0 0.84 , 18.59
2010 RA147 ,XN , 04334 ,  679  , 0 1 5.15 9 29 29.94 , 0 0 0.78   0 0 11.72 , 18.584
2002 XR14 ,XN , 06064 ,  549  , 3 39 10.21 18 33 41.47 , 0 0 0.04   0 0 0.55 , 19.921
1998 HJ3 ,XN , 06587 ,  629  , 7 19 41.33 12 35 34.69 , 0 0 0.04   0 0 0.62 , 18.577
1998 HJ3 ,XJ , 06588 ,  629  , 7 19 9.85 12 35 30.44 , 0 0 0.04   0 0 0.63 , 18.576
1998 HJ3 ,XJ , 06618 ,  695  , 5 12 38.64 12 10 54.12 , 0 0 0.1   0 0 1.54 , 19.247
2007 YQ56 ,XJ , 00636 ,  455  , 17 40 14.98 28 0 57.78 , 0 0 0.07   0 0 0.99 , 19.628
2007 YQ56 ,XJ , 00638 ,  455  , 17 40 42.31 27 54 26.17 , 0 0 0.06   0 0 0.96 , 19.695
2003 YX1 ,XJ , 00351 ,  578  , 13 54 7.42 17 53 7.26 , 0 0 0.11   0 0 1.59 , 19.553
2011 UH20 ,XN , 04490 ,  214  , 10 25 50.43 49 27 1.3 , 0 0 0.57   0 0 8.49 , 18.823
2014 ER49 ,XJ , 06218 ,  132  , 13 34 48.75 59 10 51.56 , 0 0 1.1   0 0 16.54 , 17.823
