2011 OB ,OR , 15689 ,   103 , 18 9 54.35 -63 22 30.11 , 0 0 0.03   0 0 0.42 , 19.477 , 21.95276429888825
2010 WZ8 ,OR , 10970 ,   639 , 10 42 6.25 -12 30 59.08 , 0 0 0.77   0 0 11.55 , 19.171 , 22.135424343486047
2004 LV3 , I , 15583 ,   232 , 19 21 43.86 -50 23 35.84 , 0 0 0.03   0 0 0.39 , 19.523 , 20.5
2015 RH2 , J ,  2928 ,   577 , 13 34 54.56 -18 55 20.46 , 0 0 0.82   0 0 12.37 , 18.896 , 23.583683487038268
2004 OB , I ,  6304 ,   661 , 17 56 15.76 -17 52 49.01 , 0 0 0.02   0 0 0.24 , 19.608 , 20.5
2004 OB , R ,  6305 ,   661 , 17 56 15.15 -17 53 20.36 , 0 0 0.02   0 0 0.24 , 19.609 , 22.18348435778082
2000 EV70 , J ,   785 ,   518 , 17 1 22.08 -26 32 5.78 , 0 0 0.08   0 0 1.2 , 18.322 , 23.343826579239625
1990 UA ,OR , 12550 ,   859 , 12 11 15.1 2 19 10.56 , 0 0 0.04   0 0 0.64 , 19.194 , 22.249465443631504
2014 ER49 , I , 16717 ,   241 , 23 44 35.66 -42 41 17.81 , 0 0 0.61   0 0 9.22 , 18.316 , 20.5
1994 CN2 , J , 10158 ,   860 , 0 9 4.12 0 19 1.38 , 0 0 0.13   0 0 1.89 , 19.221 , 23.62113751626007
1998 FH12 , J ,  9113 ,   859 , 23 49 21.19 -2 26 53.41 , 0 0 0.05   0 0 0.82 , 19.371 , 23.5
1984 QA ,OR , 17358 ,  543A , 1 51 58.08 -18 35 35.34 , 0 0 0.02   0 0 0.3 , 18.836 , 21.933679088372283
2012 QG42 ,OR , 14347 ,   219 , 12 42 55.23 -52 32 3.91 , 0 0 0.24   0 0 3.54 , 19.002 , 22.59640156839958
2009 TK12 ,OR , 13675 ,   388 , 15 31 46.72 -34 31 5.2 , 0 0 0.15   0 0 2.29 , 17.382 , 22.0
1982 HR , J ,  7730 ,   871 , 15 48 11.34 -1 19 23.59 , 0 0 0.09   0 0 1.32 , 14.96 , 23.5
1982 HR , I , 13299 ,   893 , 23 31 53.34 0 21 51.98 , 0 0 0.02   0 0 0.23 , 18.621 , 20.5
2000 PN9 , J ,  8627 ,   874 , 5 7 17.06 0 25 57.83 , 0 0 0.0   0 0 0.06 , 17.868 , 23.5
2006 OC5 ,OR , 14493 ,   590 , 18 9 54.0 -21 23 40.09 , 0 0 0.01   0 0 0.22 , 18.606 , 21.843826579239625
