2012 LK11 ,XJ , 05450 ,  692  , 4 18 46.8 12 38 20.47 , 0 0 0.51   0 0 7.68 , 21.382
2016 CB194 ,XJ , 01615 ,  408  , 23 35 48.92 34 28 14.63 , 0 0 4.14   0 1 2.11 , 13.929
2016 CB194 ,XN , 04446 ,  310  , 7 21 6.39 37 22 28.7 , 0 0 0.07   0 0 1.05 , 20.815
2016 CB194 ,XN , 05146 ,  714  , 11 46 1.42 11 1 33.17 , 0 0 0.06   0 0 0.92 , 23.812
2016 CB194 ,XN , 07293 ,  717  , 12 28 56.6 7 27 42.48 , 0 0 0.06   0 0 0.93 , 23.302
2003 YK118 ,XJ , 01429 ,  544  , 2 18 11.67 22 48 41.36 , 0 0 0.01   0 0 0.09 , 22.988
2003 YK118 ,XJ , 01438 ,  544  , 2 17 53.22 22 51 51.37 , 0 0 0.01   0 0 0.09 , 22.967
2003 YK118 ,XN , 07008 ,  481  , 3 16 59.88 27 41 50.5 , 0 0 0.01   0 0 0.08 , 23.058
2003 YK118 ,XN , 07017 ,  418  , 3 17 8.25 27 52 5.74 , 0 0 0.01   0 0 0.08 , 23.013
2014 KZ45 ,XF , 03832 ,  646  , 13 8 43.92 12 2 36.96 , 0 0 0.05   0 0 0.69 , 23.538
2004 VD17 ,XF , 05582 ,  630  , 7 42 43.52 15 54 0.25 , 0 0 0.01   0 0 0.08 , 20.592
2004 VD17 ,XJ , 06690 ,  627  , 6 43 35.78 17 57 40.46 , 0 0 0.0   0 0 0.06 , 23.223
2001 XU30 ,XJ , 04303 ,  689  , 3 21 1.89 10 18 5.98 , 0 0 0.03   0 0 0.42 , 23.424
2001 XU30 ,XJ , 04319 ,  689  , 3 16 59.28 10 0 36.94 , 0 0 0.03   0 0 0.42 , 23.262
2006 FX ,XJ , 03366 ,  596  , 20 9 4.68 18 41 12.59 , 0 0 0.03   0 0 0.38 , 23.106
2006 FX ,XJ , 03422 ,  667  , 19 54 14.3 17 16 53.58 , 0 0 0.03   0 0 0.38 , 23.039
2006 FX ,XN , 05923 ,  606  , 23 53 4.86 17 31 18.05 , 0 0 0.02   0 0 0.34 , 22.859
2000 YG29 ,XJ , 03259 ,  794  , 14 15 2.43 7 39 50.4 , 0 0 0.01   0 0 0.18 , 23.601
2000 YG29 ,XJ , 03260 ,  794  , 14 15 2.43 7 39 50.4 , 0 0 0.01   0 0 0.18 , 23.601
2018 FO5 ,XJ , 04414 ,  774  , 7 31 3.48 7 39 57.28 , 0 0 0.11   0 0 1.62 , 23.403
2018 FO5 ,XJ , 05625 ,  700  , 6 50 34.06 11 40 30.5 , 0 0 0.09   0 0 1.37 , 23.51
2018 FO5 ,XJ , 05631 ,  700  , 6 49 5.7 11 40 7.25 , 0 0 0.09   0 0 1.37 , 23.51
2018 FO5 ,XJ , 05653 ,  698  , 6 31 27.33 11 43 0.88 , 0 0 0.09   0 0 1.34 , 23.71
2018 FO5 ,XJ , 05655 ,  698  , 6 31 19.09 11 43 5.74 , 0 0 0.09   0 0 1.34 , 23.712
2018 FO5 ,XJ , 05663 ,  698  , 6 29 52.51 11 43 59.74 , 0 0 0.09   0 0 1.33 , 23.736
2010 KR10 ,XJ , 06066 ,  487  , 5 40 34.44 22 42 2.23 , 0 0 0.11   0 0 1.71 , 20.948
2010 KR10 ,XJ , 06097 ,  552  , 4 43 53.77 22 19 14.05 , 0 0 0.07   0 0 0.98 , 23.351
2011 SD173 ,XF , 04930 ,  619  , 4 0 5.21 16 44 19.97 , 0 0 0.04   0 0 0.62 , 22.289
2008 KZ5 ,XJ , 01846 ,  795  , 14 40 45.15 5 9 12.56 , 0 0 0.01   0 0 0.2 , 21.434
2008 KZ5 ,XJ , 06157 ,  713  , 11 8 41.1 12 37 30.4 , 0 0 0.01   0 0 0.15 , 23.834
1999 DB7 ,XJ , 03952 ,  068  , 16 9 37.51 72 9 31.21 , 0 0 0.08   0 0 1.24 , 18.975
1999 DB7 ,XN , 06281 ,  524  , 19 1 1.08 26 14 6.79 , 0 0 0.06   0 0 0.86 , 18.576
2007 CN26 ,XJ , 02188 ,  766  , 4 48 45.15 2 6 40.43 , 0 0 0.04   0 0 0.62 , 20.883
2007 CN26 ,XJ , 04354 ,  769  , 5 50 36.36 3 31 6.46 , 0 0 0.03   0 0 0.43 , 21.731
1998 HH49 ,XJ , 06744 ,  712  , 11 9 44.89 9 23 14.21 , 0 0 0.13   0 0 1.92 , 22.447
1998 HH49 ,XJ , 06745 ,  712  , 11 9 42.1 9 23 15.25 , 0 0 0.13   0 0 1.91 , 22.448
1998 HH49 ,XJ , 06790 ,  711  , 10 41 10.32 8 15 25.7 , 0 0 0.08   0 0 1.18 , 22.74
1998 HH49 ,XJ , 06791 ,  711  , 10 41 9.31 8 15 17.53 , 0 0 0.08   0 0 1.18 , 22.74
1998 HH49 ,XN , 07067 ,  490  , 6 42 21.54 26 59 31.85 , 0 0 0.09   0 0 1.38 , 21.077
2000 GV147 ,XF , 04315 ,  554  , 5 38 1.39 21 0 19.01 , 0 0 0.04   0 0 0.58 , 22.712
2000 GV147 ,XJ , 04411 ,  483  , 3 51 20.15 23 40 54.01 , 0 0 0.04   0 0 0.56 , 23.491
2000 GV147 ,XJ , 04412 ,  483  , 3 51 20.15 23 40 55.6 , 0 0 0.04   0 0 0.56 , 23.491
2000 GV147 ,XJ , 05102 ,  441  , 12 16 5.82 27 37 19.96 , 0 0 0.1   0 0 1.45 , 19.512
2000 GV147 ,XJ , 05109 ,  441  , 12 13 56.68 27 41 31.67 , 0 0 0.1   0 0 1.44 , 19.508
2000 GV147 ,XJ , 07281 ,  364  , 6 13 22.48 32 54 46.4 , 0 0 0.03   0 0 0.45 , 23.947
2000 GV147 ,XJ , 07282 ,  364  , 6 13 22.8 32 54 44.06 , 0 0 0.03   0 0 0.45 , 23.947
2000 GV147 ,XJ , 07295 ,  364  , 6 14 3.18 32 50 31.06 , 0 0 0.03   0 0 0.44 , 23.976
2003 MH4 ,XJ , 00315 ,  549  , 3 57 21.14 21 35 39.08 , 0 0 0.02   0 0 0.26 , 23.851
2011 WN15 ,XJ , 01635 ,  257  , 7 36 5.63 46 23 11.65 , 0 0 0.04   0 0 0.56 , 21.758
2011 WN15 ,XF , 03812 ,  161  , 6 18 7.56 57 42 23.36 , 0 0 0.04   0 0 0.56 , 23.234
2011 WN15 ,XJ , 05660 ,  130  , 11 54 2.97 60 36 19.48 , 0 0 0.07   0 0 1.0 , 22.096
2011 WN15 ,XJ , 05667 ,  130  , 11 54 19.46 61 22 0.3 , 0 0 0.07   0 0 1.01 , 22.066
1999 RM45 ,XJ , 05579 ,  764  , 4 25 41.62 4 44 53.84 , 0 0 0.01   0 0 0.21 , 23.594
2018 JA ,XJ , 05549 ,  426  , 6 36 19.24 27 8 22.34 , 0 0 0.06   0 0 0.87 , 23.497
2018 JA ,XJ , 05550 ,  426  , 6 36 19.61 27 8 47.47 , 0 0 0.06   0 0 0.87 , 23.497
2018 JA ,XJ , 05620 ,  203  , 5 5 33.79 47 3 30.49 , 0 0 0.09   0 0 1.4 , 22.365
2000 WO107 ,XN , 06067 ,  494  , 7 51 12.75 26 53 26.2 , 0 0 0.01   0 0 0.13 , 19.855
2011 LT17 ,XN , 07194 ,  172  , 12 31 42.18 57 11 3.95 , 0 0 0.16   0 0 2.36 , 22.137
2011 LT17 ,XJ , 07251 ,   63  , 10 51 12.24 66 57 49.75 , 0 0 0.14   0 0 2.07 , 22.68
2013 LM31 ,XN , 03061 ,  485  , 4 39 14.18 22 6 9.94 , 0 6 40.55   1 40 8.32 , 22.341
1947 XC ,XN , 06474 ,  549  , 3 58 0.53 18 5 5.5 , 0 0 0.01   0 0 0.08 , 18.798
1947 XC ,XN , 06579 ,  616  , 3 11 30.68 15 13 27.59 , 0 0 0.01   0 0 0.16 , 15.892
2018 BP ,XF , 03851 ,  785  , 11 25 0.62 2 27 32.54 , 0 0 0.1   0 0 1.56 , 21.859
2006 HQ30 ,XF , 02297 ,  574  , 12 37 21.96 19 14 17.09 , 0 7 41.39   1 55 20.92 , 23.752
1998 VD35 ,XF , 03553 ,  612  , 1 27 27.48 17 2 18.71 , 0 0 0.06   0 0 0.86 , 23.223
1998 VD35 ,XF , 03608 ,  681  , 0 49 27.82 12 40 24.35 , 0 0 0.06   0 0 0.95 , 22.216
1998 VD35 ,XJ , 04942 ,  753  , 0 31 44.59 6 45 45.94 , 0 0 0.05   0 0 0.72 , 22.439
1998 VD35 ,XJ , 04944 ,  753  , 0 30 51.72 6 33 18.86 , 0 0 0.05   0 0 0.7 , 22.458
1998 QA1 ,XJ , 04865 ,  413  , 1 36 40.69 28 17 23.57 , 0 0 0.07   0 0 1.04 , 20.732
1998 QA1 ,XJ , 04893 ,  413  , 1 27 59.34 27 35 13.81 , 0 0 0.07   0 0 1.05 , 20.71
1998 QA1 ,XN , 05595 ,  491  , 6 50 2.76 27 52 29.14 , 0 0 0.04   0 0 0.57 , 23.848
1998 QA1 ,XF , 06402 ,  476  , 1 16 54.46 26 48 36.61 , 0 0 0.05   0 0 0.78 , 19.791
1998 QA1 ,XN , 06442 ,  474  , 0 41 26.99 25 41 53.23 , 0 0 0.06   0 0 0.91 , 19.749
2002 QW47 ,XJ , 03776 ,  788  , 12 12 22.62 3 26 36.89 , 0 0 0.13   0 0 1.96 , 22.735
2018 DA1 ,XJ , 03115 ,  377  , 10 58 38.06 36 10 45.52 , 0 0 0.06   0 0 0.88 , 20.491
1989 FC ,XF , 02376 ,  643  , 12 3 48.25 15 28 50.09 , 0 0 0.11   0 0 1.64 , 17.196
2008 TC4 ,XJ , 02183 ,  410  , 0 22 49.43 29 8 48.55 , 0 0 0.1   0 0 1.49 , 18.737
2004 UE ,XF , 04154 ,  671  , 21 25 45.25 13 30 38.77 , 0 1 11.39   0 17 50.78 , 23.913
2007 LF ,XF , 03566 ,  542  , 1 12 45.02 17 10 44.26 , 0 0 0.05   0 0 0.72 , 23.664
2007 LF ,XJ , 06551 ,  557  , 6 27 52.62 21 10 0.66 , 0 0 0.05   0 0 0.72 , 23.991
1973 EA ,XJ , 01613 ,  533  , 22 22 39.54 23 35 38.15 , 0 0 0.01   0 0 0.16 , 18.219
